episode,global_step,rm_ready,rm_version,num_preferences,preference_sources,final_connected,final_num_components,final_largest_component_size,final_edge_count,final_inter_component_gap,final_coverage_score,final_overlap_ratio,became_connected,first_connected_step,lost_connectivity_events,actor_loss,critic_1_loss,critic_2_loss,mean_rm_reward,rm_loss,rm_pair_accuracy
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
17,54000,1,3,10,"{""qwen"": 10}",0,5,3,4,766.4425995257247,0.9637059809783993,0.03629401902160072,0,-1,0,-32.40523910522461,0.01297040656208992,0.014573357068002224,-0.056901901960372925,0.6340275462468465,0.8888888888888888
18,57000,1,4,11,"{""qwen"": 11}",0,4,3,5,386.18306402661847,0.9631551005983731,0.036844899401626906,0,-1,0,-37.98100662231445,0.025963865220546722,0.02267252840101719,-0.16220147907733917,0.5684789526462555,0.9
19,60000,1,5,12,"{""qwen"": 12}",0,5,3,4,220.9532182890298,0.966921757009131,0.03307824299086904,0,-1,0,-42.25593185424805,0.08390123397111893,0.053936172276735306,-0.0915052592754364,0.45852268775304156,0.9090909090909091
20,63000,1,5,12,"{""qwen"": 12}",0,3,4,6,220.96995996788655,0.9670650473542953,0.03293495264570464,0,-1,0,-48.27393341064453,0.01398254930973053,0.022990865632891655,-0.12809769809246063,0.45852268775304156,0.9090909090909091
21,66000,1,6,13,"{""qwen"": 13}",0,3,6,6,236.10880707842352,0.9656241174434407,0.034375882556559344,0,-1,0,-51.81806564331055,0.11676428467035294,0.0073473709635436535,-0.06399264931678772,0.3923717280228933,0.9166666666666666
22,69000,1,6,13,"{""qwen"": 13}",0,4,4,7,691.4382291604397,0.9484349197301691,0.051565080269830865,0,-1,0,-52.87826919555664,0.015964938327670097,0.008118126541376114,0.16258184611797333,0.3923717280228933,0.9166666666666666
23,72000,1,7,14,"{""qwen"": 14}",0,4,4,7,763.9837771355287,0.9481854237633721,0.0518145762366279,0,-1,0,-57.42918395996094,0.043749891221523285,0.2640659809112549,0.17727330327033997,0.31654526710510256,1.0
24,75000,1,8,15,"{""qwen"": 15}",0,4,4,7,872.6117277693629,0.9448982904392744,0.055101709560725555,0,-1,0,-57.884552001953125,0.16283945739269257,0.08708952367305756,0.09912396967411041,0.27214778661727906,1.0
25,78000,1,8,15,"{""qwen"": 15}",0,4,4,7,948.0136872240842,0.9441092472862594,0.0558907527137406,0,-1,0,-60.986328125,0.08170225471258163,0.046135202050209045,-0.17935851216316223,0.27214778661727906,1.0
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,0,0,1,"{""qwen"": 1}",0,2,7,12,1309.8042263129778,0.9233004465778784,0.07669955342212169,0,-1,0,,,,,,
2,9000,0,0,1,"{""qwen"": 1}",0,3,4,9,412.72519588622754,0.9504373373991815,0.04956266260081859,0,-1,0,,,,,,
3,12000,0,0,2,"{""qwen"": 2}",0,3,4,9,76.70732211042423,0.9122732044460921,0.08772679555390792,0,-1,0,,,,,,
4,15000,0,0,3,"{""qwen"": 3}",0,3,4,9,301.20949119418174,0.9410710200748276,0.05892897992517241,0,-1,0,,,,,,
5,18000,0,0,3,"{""qwen"": 3}",0,3,4,9,314.90411511108414,0.8901773882400942,0.1098226117599058,0,-1,0,,,,,,
6,21000,0,0,4,"{""qwen"": 4}",0,2,7,11,696.2677302179204,0.9231805482172468,0.07681945178275318,0,-1,0,,,,,,
7,24000,0,0,4,"{""qwen"": 4}",0,3,4,9,196.29995596912113,0.904848799641078,0.09515120035892201,0,-1,0,,,,,,
8,27000,0,0,5,"{""qwen"": 5}",0,3,4,9,39.48617503471155,0.9409030171335685,0.05909698286643152,0,-1,0,,,,,,
9,30000,0,0,6,"{""qwen"": 6}",0,3,4,9,644.0542001607323,0.9394869290415409,0.060513070958459196,0,-1,0,,,,,,
10,33000,0,0,6,"{""qwen"": 6}",0,3,4,9,246.04944731039677,0.9099373631745121,0.0900626368254879,0,-1,0,,,,,,
11,36000,0,0,7,"{""qwen"": 7}",0,3,4,9,261.88828556289354,0.9456697930987181,0.05433020690128185,0,-1,0,,,,,,
12,39000,0,0,7,"{""qwen"": 7}",0,2,7,11,992.1869398112085,0.9214766785014473,0.07852332149855264,0,-1,0,,,,,,
13,42000,1,1,8,"{""qwen"": 8}",0,6,3,3,652.4713865457329,0.979379897934119,0.0206201020658811,0,-1,0,-6.103085517883301,0.010474812239408493,0.010636826045811176,-0.04313062131404877,0.6785314083099365,0.75
14,45000,1,2,9,"{""qwen"": 9}",0,4,3,6,1320.6629455233738,0.8826872507190966,0.11731274928090336,1,188,1,-12.916814804077148,0.016063589602708817,0.016041286289691925,-0.05631144344806671,0.6540299598375956,0.75
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
1,6000,0,0,1,"{""qwen"": 1}",0,2,7,12,1309.8042263129778,0.9233004465778784,0.07669955342212169,0,-1,0,,,,,,
2,9000,0,0,1,"{""qwen"": 1}",0,3,4,9,412.72519588622754,0.9504373373991815,0.04956266260081859,0,-1,0,,,,,,
3,12000,0,0,2,"{""qwen"": 2}",0,3,4,9,76.70732211042423,0.9122732044460921,0.08772679555390792,0,-1,0,,,,,,
4,15000,0,0,3,"{""qwen"": 3}",0,3,4,9,301.20949119418174,0.9410710200748276,0.05892897992517241,0,-1,0,,,,,,
5,18000,0,0,3,"{""qwen"": 3}",0,3,4,9,314.90411511108414,0.8901773882400942,0.1098226117599058,0,-1,0,,,,,,
6,21000,0,0,4,"{""qwen"": 4}",0,2,7,11,696.2677302179204,0.9231805482172468,0.07681945178275318,0,-1,0,,,,,,
7,24000,0,0,4,"{""qwen"": 4}",0,3,4,9,196.29995596912113,0.904848799641078,0.09515120035892201,0,-1,0,,,,,,
8,27000,0,0,5,"{""qwen"": 5}",0,3,4,9,39.48617503471155,0.9409030171335685,0.05909698286643152,0,-1,0,,,,,,
9,30000,0,0,6,"{""qwen"": 6}",0,3,4,9,644.0542001607323,0.9394869290415409,0.060513070958459196,0,-1,0,,,,,,
10,33000,0,0,6,"{""qwen"": 6}",0,3,4,9,246.04944731039677,0.9099373631745121,0.0900626368254879,0,-1,0,,,,,,
11,36000,0,0,7,"{""qwen"": 7}",0,3,4,9,261.88828556289354,0.9456697930987181,0.05433020690128185,0,-1,0,,,,,,
12,39000,0,0,7,"{""qwen"": 7}",0,2,7,11,992.1869398112085,0.9214766785014473,0.07852332149855264,0,-1,0,,,,,,
0,500,0,0,4,"{""qwen"": 4}",0,0,5986.315891870663,748.2894864838329,1052.711980896344,-1,,,,,,
1,1000,1,1,8,"{""qwen"": 8}",0,0,5559.118489258259,694.8898111572823,950.6545614095635,-1,-1.2879211902618408,2.242534637451172,2.422471046447754,-0.07869558781385422,0.6712574855486552,1.0
2,1500,1,2,12,"{""qwen"": 12}",0,0,4873.077286221604,609.1346607777004,950.3542675088045,-1,-3.2554121017456055,0.45164546370506287,0.45174479484558105,-0.0028694774955511093,0.6454509600003561,0.9166666666666666
3,2000,1,3,16,"{""qwen"": 16}",0,1,4123.632903755709,515.4541129694636,948.6832980505138,-1,-3.6674327850341797,0.12832887470722198,0.1382371336221695,-0.1996172070503235,0.6127141825358073,0.8125
4,2500,1,4,20,"{""qwen"": 20}",0,2,3822.770009293414,477.8462511616768,924.2450480629055,-1,-4.305252552032471,0.020841311663389206,0.02428530342876911,0.07058165222406387,0.58672181447347,0.7894736842105263
0,500,0,0,4,"{""qwen"": 4}",0,0,5986.315891870663,748.2894864838329,1052.711980896344,-1,,,,,,
1,1000,1,1,8,"{""qwen"": 8}",0,0,5559.118489258259,694.8898111572823,950.6545614095635,-1,-1.2879338264465332,2.2585484981536865,2.440195322036743,-0.07256017625331879,0.6712921770413717,0.875
2,1500,1,2,12,"{""qwen"": 12}",0,0,4940.365594979461,617.5456993724326,939.0180862415469,-1,-3.251319646835327,0.4539135694503784,0.4528186321258545,0.0048521533608436584,0.6474780138333639,0.75
3,2000,1,3,16,"{""qwen"": 16}",0,0,4472.4933425818535,559.0616678227317,948.6832980505138,-1,-3.676234722137451,0.14391914010047913,0.15188629925251007,-0.20548292994499207,0.6002018161614736,0.8125
4,2500,1,4,20,"{""qwen"": 20}",0,0,4844.008107581743,605.5010134477179,923.5861589949113,-1,-4.272976875305176,0.04083986580371857,0.043686963617801666,0.04546255245804787,0.57104017217954,0.7
5,3000,1,5,24,"{""qwen"": 24}",0,2,3833.751697458218,479.21896218227727,935.0305407146992,-1,-4.778407573699951,0.027279436588287354,0.026675967499613762,-0.14150719344615936,0.5325305366516113,0.7083333333333334
6,3500,1,6,28,"{""qwen"": 28}",0,2,3827.743409203467,478.46792615043336,929.2184479729582,-1,-5.310988903045654,0.02685057930648327,0.0256133321672678,0.021711314097046852,0.5012366290887197,0.76
7,4000,1,7,32,"{""qwen"": 32}",0,2,3827.730347097359,478.46629338716986,948.6832980505138,-1,-5.933167457580566,0.01735163852572441,0.01725868135690689,-0.03726719319820404,0.5157927970091502,0.76
8,4500,1,8,36,"{""qwen"": 36}",0,2,3801.0724314988192,475.1340539373524,927.0011282170098,-1,-6.479856967926025,0.02429288998246193,0.02280620113015175,-0.08937054127454758,0.5017569585641225,0.7777777777777778
